name,time,price,rsi,sharpe,action
DLTR,2019/11/26,95.26,25.605,-0.211419,buy
PLUG,2019/12/05,3.09,44.3063,0.0957135,buy
DRE,2019/12/12,34.31,41.5567,-0.0850259,buy
SPTN,2019/12/13,13.04,45.6552,0.112546,buy
NHTC,2019/11/20,6.55,44.2058,-0.0149225,buy
I,2019/11/06,23.96,42.9585,0.0624148,buy
SPKE,2019/12/12,10.04,41.6388,-0.0166743,buy
VET,2019/12/02,14.01,42.3645,0.0451762,buy
ADES,2019/10/31,13.4966,49.9413,0.0597292,buy
GME,2019/12/11,5.53,41.2352,-0.0497487,buy
PSA,2019/09/09,250.334,45.5036,-0.0444277,buy
OSTK,2019/09/23,11.19,34.3071,-0.20609,buy
RACE,2019/12/09,163.68,47.4743,-0.0309073,buy
GD,2019/12/02,177.99,38.5308,-0.0561413,buy
DECK,2019/11/21,157.28,47.102,0.0328414,buy
SPWR,2019/09/27,11.45,38.3459,-0.102162,buy
ARLP,2019/10/01,14.65,41.4124,-0.0384293,buy
AQMS,2019/10/28,1.69,39.5032,0.00351823,buy
LTXB,2019/10/31,42.54,41.9419,0.0226475,buy
LSI,2019/12/02,107.83,48.6447,-0.00259932,buy
GH,2019/12/02,73.84,48.2761,0.0630891,buy
REG,2019/10/31,66.6371,41.7739,-0.0694602,buy
TELL,2019/10/02,7.66,48.2566,0.159711,buy
ZYXI,2019/12/09,9.57,47.3242,0.0794237,buy
SRG,2019/11/29,42.28,40.9017,-0.109653,buy
IGT,2019/12/03,14.14,48.0982,0.0375416,buy
WBT,2019/11/05,17.46,45.1693,0.127557,buy
FRGI,2019/12/11,9.31,46.1721,-0.00683126,buy
REET,2019/12/11,27.93,41.5978,0.0778129,buy
WNS,2019/11/21,61.22,44.3355,-0.0661413,buy
AVLR,2019/12/02,74.45,49.526,0.0564158,buy
UVXY,2019/10/11,24.61,42.6749,0.0125117,buy
TXT,2019/12/03,45.2696,38.3313,-0.329984,buy
CP,2000/01/03,12.1539,37.3773,-0.154995,buy
CP,2000/01/06,13.1667,60.6653,0.134141,sell
AEE,2000/01/03,11.9222,32.5452,-0.296864,buy
AEE,2000/01/07,12.5236,58.5218,0.138772,sell
DDD,2000/01/04,2.62667,48.7449,-0.135564,buy
DDD,2000/01/07,2.91667,61.8963,0.184703,sell
RAVN,2000/01/05,0.754559,46.118,0.142566,buy
RAVN,2000/01/07,0.767569,55.1589,0.138029,sell
XLP,2000/01/04,14.0632,31.1572,-0.338403,buy
XLP,2000/01/07,15.5071,60.3565,0.0960381,sell
AU,2000/01/04,18.2085,44.0781,0.0471942,buy
AU,2000/01/10,18.9824,54.7842,0.239679,sell
KMX,2000/01/04,1.094,39.1643,-0.337423,buy
KMX,2000/01/10,1.219,50.973,-0.0406754,sell
MSM,2000/01/04,7.79908,48.8352,0.176365,buy
MSM,2000/01/11,10.8664,68.8782,0.259458,sell
AMKR,2000/01/06,24.69,44.9949,-0.0724462,buy
